                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0313,                 6.4236,                  2.418,                0.65893,                0.03945,                0.01597,                0.00486,                 3.0238,                   4.22,                 1.6562,              0.0033315,              0.0033315,              0.0033315
                      2,                 3.0263,                 3.0083,                 1.5722,                0.70207,                0.05673,                0.05107,                0.01765,                 2.6873,                  3.086,                 1.4871,              0.0066429,              0.0066429,              0.0066429
                      3,                 2.8158,                 2.6068,                 1.4404,                0.32651,                0.09562,                0.08547,                0.03515,                 2.5596,                  2.792,                 1.4115,              0.0099322,              0.0099322,              0.0099322
                      4,                  2.661,                 2.2854,                 1.3765,                0.19292,                0.13235,                0.11692,                0.04691,                 2.4191,                 2.2174,                   1.34,               0.009901,               0.009901,               0.009901
                      5,                 2.5562,                  2.098,                 1.3337,                0.32479,                 0.1374,                0.12736,                0.05059,                 2.3599,                 2.1171,                 1.3174,               0.009901,               0.009901,               0.009901
                      6,                 2.4899,                 1.9663,                 1.3039,                0.36276,                0.16448,                0.15799,                0.06711,                 2.3081,                  1.985,                 1.2877,               0.009868,               0.009868,               0.009868
                      7,                 2.4584,                 1.9269,                 1.2899,                0.35651,                0.16456,                0.16708,                0.07075,                 2.2869,                 1.8756,                 1.2785,               0.009835,               0.009835,               0.009835
                      8,                 2.4251,                 1.8529,                 1.2772,                0.33956,                0.17287,                 0.1644,                0.06873,                 2.2356,                 1.8323,                 1.2634,               0.009802,               0.009802,               0.009802
                      9,                 2.4004,                 1.8086,                 1.2722,                0.36391,                0.18342,                  0.181,                0.07655,                 2.2239,                 1.8214,                 1.2552,               0.009769,               0.009769,               0.009769
                     10,                 2.3737,                 1.7927,                  1.263,                0.38028,                0.19519,                0.19407,                0.08224,                 2.2302,                 1.7865,                  1.254,               0.009736,               0.009736,               0.009736
                     11,                 2.3618,                 1.7412,                 1.2488,                0.38238,                0.19686,                0.19747,                0.08564,                 2.2217,                 1.7295,                  1.244,               0.009703,               0.009703,               0.009703
                     12,                 2.3381,                 1.7096,                 1.2488,                0.38959,                0.20443,                0.20374,                0.08501,                 2.1843,                 1.6864,                 1.2368,                0.00967,                0.00967,                0.00967
                     13,                 2.3176,                 1.6975,                 1.2413,                0.41418,                0.20012,                0.21121,                0.09021,                 2.1802,                 1.6242,                 1.2406,               0.009637,               0.009637,               0.009637
                     14,                 2.3023,                 1.6632,                  1.235,                0.41032,                0.19882,                0.21195,                0.09335,                 2.1729,                 1.6808,                 1.2339,               0.009604,               0.009604,               0.009604
                     15,                 2.2919,                 1.6384,                 1.2321,                0.54059,                0.20399,                0.21785,                0.09407,                 2.1676,                 1.6342,                 1.2299,               0.009571,               0.009571,               0.009571
                     16,                 2.2945,                 1.6389,                 1.2313,                0.54563,                0.21247,                0.22369,                0.09866,                 2.1547,                 1.6158,                 1.2264,               0.009538,               0.009538,               0.009538
                     17,                 2.2758,                 1.6125,                 1.2299,                 0.5311,                0.21997,                0.22409,                0.09657,                 2.1461,                 1.5837,                 1.2219,               0.009505,               0.009505,               0.009505
                     18,                 2.2787,                 1.6111,                 1.2267,                0.53795,                0.22463,                0.23375,                 0.1019,                 2.1304,                 1.5613,                 1.2136,               0.009472,               0.009472,               0.009472
                     19,                 2.2806,                 1.5949,                 1.2234,                0.55223,                0.22232,                0.23488,                0.10138,                 2.1201,                 1.5533,                 1.2163,               0.009439,               0.009439,               0.009439
                     20,                 2.2648,                 1.5904,                 1.2172,                0.53806,                0.23037,                0.24151,                0.10408,                 2.1394,                 1.5272,                 1.2144,               0.009406,               0.009406,               0.009406
                     21,                 2.2536,                  1.565,                 1.2148,                0.42878,                 0.2291,                0.24598,                0.10636,                 2.1122,                  1.517,                 1.2075,               0.009373,               0.009373,               0.009373
                     22,                 2.2436,                 1.5535,                 1.2123,                0.43982,                 0.2322,                0.25012,                0.10658,                 2.1107,                 1.5077,                 1.2043,                0.00934,                0.00934,                0.00934
                     23,                 2.2397,                 1.5338,                 1.2121,                0.44031,                0.24283,                0.25594,                0.11281,                 2.1005,                 1.5041,                 1.1992,               0.009307,               0.009307,               0.009307
