                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7028,                 3.8784,                 3.1936,                0.14466,                0.08829,                0.03476,                0.01259,                 2.9359,                 2.8653,                 2.2453,              0.0033292,              0.0033292,              0.0033292
                      2,                  2.715,                 2.7562,                 2.0549,                 0.1829,                0.12626,                0.07505,                0.03313,                 2.3741,                 2.3518,                 1.7932,              0.0066406,              0.0066406,              0.0066406
                      3,                 2.3859,                 2.4421,                 1.7735,                0.33008,                0.15096,                0.10363,                0.04803,                 2.1533,                 2.2071,                 1.6441,              0.0099299,              0.0099299,              0.0099299
                      4,                 2.1833,                 2.2011,                 1.6321,                0.30771,                0.15662,                0.13038,                0.06483,                 2.0526,                 1.9148,                 1.5361,               0.009901,               0.009901,               0.009901
                      5,                 2.0545,                 2.0177,                 1.5406,                0.20519,                 0.1936,                0.15401,                0.07872,                 1.8963,                 1.7669,                 1.4666,               0.009901,               0.009901,               0.009901
                      6,                 1.9746,                  1.891,                 1.4929,                0.22409,                0.20915,                  0.171,                0.08876,                  1.813,                 1.6663,                 1.4102,               0.009868,               0.009868,               0.009868
                      7,                 1.9038,                 1.7887,                 1.4557,                0.26516,                0.22536,                0.19308,                0.10071,                 1.7611,                 1.5738,                 1.3876,               0.009835,               0.009835,               0.009835
                      8,                 1.8677,                 1.7392,                 1.4311,                0.26013,                0.23048,                0.19746,                0.10185,                 1.7805,                 1.5474,                 1.3773,               0.009802,               0.009802,               0.009802
                      9,                 1.8317,                  1.673,                 1.4037,                0.29079,                0.25079,                 0.2229,                0.11923,                 1.6917,                  1.484,                 1.3342,               0.009769,               0.009769,               0.009769
                     10,                 1.7993,                 1.6293,                 1.3831,                 0.3116,                0.24976,                0.23061,                0.12425,                  1.673,                 1.4667,                 1.3307,               0.009736,               0.009736,               0.009736
                     11,                  1.777,                 1.5901,                 1.3691,                0.33782,                0.26484,                0.24067,                0.12954,                 1.6582,                 1.4331,                 1.3102,               0.009703,               0.009703,               0.009703
                     12,                 1.7541,                 1.5642,                 1.3558,                0.34412,                0.27088,                0.25086,                0.13705,                 1.6361,                 1.4059,                 1.3012,                0.00967,                0.00967,                0.00967
                     13,                 1.7429,                 1.5447,                 1.3497,                0.35155,                0.28316,                0.26352,                0.14231,                 1.6172,                 1.3796,                 1.2915,               0.009637,               0.009637,               0.009637
                     14,                 1.7126,                 1.5093,                 1.3335,                0.37704,                0.28162,                0.26843,                0.14622,                 1.6037,                 1.3593,                 1.2842,               0.009604,               0.009604,               0.009604
                     15,                 1.7041,                  1.491,                 1.3292,                   0.36,                0.29293,                0.27452,                0.15373,                 1.5851,                 1.3343,                 1.2757,               0.009571,               0.009571,               0.009571
                     16,                 1.6894,                 1.4656,                  1.318,                0.36805,                0.29828,                0.27703,                0.15418,                 1.5763,                 1.3222,                 1.2678,               0.009538,               0.009538,               0.009538
                     17,                 1.6852,                 1.4554,                 1.3124,                0.37899,                0.29518,                0.28205,                0.15594,                 1.5737,                 1.3085,                 1.2701,               0.009505,               0.009505,               0.009505
                     18,                 1.6654,                 1.4322,                 1.3077,                0.38035,                0.29999,                0.28973,                0.16143,                 1.5608,                 1.2989,                  1.264,               0.009472,               0.009472,               0.009472
                     19,                 1.6617,                 1.4204,                 1.3068,                0.38843,                0.29952,                0.29158,                0.16327,                   1.55,                 1.2888,                 1.2532,               0.009439,               0.009439,               0.009439
                     20,                 1.6462,                 1.4036,                 1.2922,                 0.3724,                0.31166,                 0.2907,                 0.1621,                  1.552,                  1.298,                  1.251,               0.009406,               0.009406,               0.009406
                     21,                 1.6464,                    1.4,                 1.2919,                0.39762,                0.31281,                0.30276,                0.16941,                 1.5326,                 1.2636,                 1.2444,               0.009373,               0.009373,               0.009373
                     22,                 1.6343,                 1.3774,                 1.2846,                  0.419,                0.30956,                0.30709,                0.17325,                 1.5229,                 1.2553,                 1.2398,                0.00934,                0.00934,                0.00934
                     23,                 1.6281,                 1.3706,                 1.2779,                 0.4136,                0.31729,                0.31089,                0.17417,                 1.5304,                 1.2471,                 1.2395,               0.009307,               0.009307,               0.009307
                     24,                 1.6263,                 1.3678,                 1.2799,                0.41827,                  0.316,                0.31129,                0.17656,                 1.5222,                 1.2428,                 1.2349,               0.009274,               0.009274,               0.009274
                     25,                 1.6079,                 1.3498,                  1.272,                0.42823,                0.32657,                0.32248,                0.18153,                 1.5046,                 1.2243,                 1.2278,               0.009241,               0.009241,               0.009241
